================================================================================
Started: 2026-06-17T12:51:14
Args: {'train_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5'), 'val_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5'), 'save_dir': PosixPath('checkpoints_recover_lr3e5_from_epoch38'), 'use_static': False, 'fill_target_nan': '0.0', 'loss': 'mse', 'batch_size': 64, 'val_batch_size': 128, 'epochs': 60, 'val_every': 1, 'max_train_batches': None, 'max_val_batches': None, 'lr': 3e-05, 'weight_decay': 0.0, 'seed': 42, 'base_filters': [8, 16, 32, 64], 'use_batchnorm': False, 'final_activation': 'identity', 'amp': False, 'grad_clip': 1.0, 'resume': PosixPath('checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt'), 'save_every_epoch': False, 'early_stop_patience': 20, 'scheduler_patience': 6, 'scheduler_factor': 0.5, 'min_lr': 1e-06, 'log_every': 100}
================================================================================
Device: cuda
GPU: NVIDIA L40S

Train H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5
  n: 360000
  x_gmi_shape: (360000, 78, 40, 40)
  y_shape: (360000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'lat_max': '70.0', 'lat_min': '-70.0', 'max_permanent_invalid_fraction': '0.3', 'min_target_valid_fraction': '0.7', 'num_patches_actual': '360000', 'num_patches_target': '360000', 'patch_size': '40', 'seed': '42', 'stride': '20', 'use_static': 'False'}

Val H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5
  n: 50000
  x_gmi_shape: (50000, 78, 40, 40)
  y_shape: (50000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'min_valid_fraction': '0.7', 'num_patches_actual': '50000', 'num_patches_target': '50000', 'patch_size': '40', 'sampling': 'balanced random stride-aligned sampling from original validation days', 'seed': '999', 'stride': '20', 'use_static': 'False'}

Model:
  in_channels: 78
  out_channels: 13
  parameters: 491,325
  train batches/epoch: 5,625
  val batches: 391
  train batch size: 64
  val batch size: 128
AMP: False
Loss: mse

Resuming from checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt
Reset optimizer LR to 3e-05
  start_epoch: 39
  best_val_loss: 33.59253692687988
  best_epoch: 38

--------------------------------------------------------------------------------
Starting epoch 39/60 at 2026-06-17T12:51:43
[epoch 041 step 003200/005625] batch_loss=34.876434 running_train_loss=32.293847
[epoch 041 step 003300/005625] batch_loss=28.275019 running_train_loss=32.303548
[epoch 041 step 003400/005625] batch_loss=30.125261 running_train_loss=32.281703
[epoch 041 step 003500/005625] batch_loss=22.860716 running_train_loss=32.287065
[epoch 041 step 003600/005625] batch_loss=25.817543 running_train_loss=32.310723
[epoch 041 step 003700/005625] batch_loss=31.907734 running_train_loss=32.305623
[epoch 041 step 003800/005625] batch_loss=38.879139 running_train_loss=32.290506
[epoch 041 step 003900/005625] batch_loss=35.187027 running_train_loss=32.319622
[epoch 041 step 004000/005625] batch_loss=30.579111 running_train_loss=32.355085
[epoch 041 step 004100/005625] batch_loss=44.134659 running_train_loss=32.373377
[epoch 041 step 004200/005625] batch_loss=28.814604 running_train_loss=32.354701
[epoch 041 step 004300/005625] batch_loss=37.730732 running_train_loss=32.370392
[epoch 041 step 004400/005625] batch_loss=37.173878 running_train_loss=32.351104
[epoch 041 step 004500/005625] batch_loss=25.355986 running_train_loss=32.330969
[epoch 041 step 004600/005625] batch_loss=31.536640 running_train_loss=32.322530
[epoch 041 step 004700/005625] batch_loss=26.249634 running_train_loss=32.365202
[epoch 041 step 004800/005625] batch_loss=28.426323 running_train_loss=32.348350
[epoch 041 step 004900/005625] batch_loss=32.447815 running_train_loss=32.350018
[epoch 041 step 005000/005625] batch_loss=24.576862 running_train_loss=32.395458
[epoch 041 step 005100/005625] batch_loss=37.029045 running_train_loss=32.409896
[epoch 041 step 005200/005625] batch_loss=29.160685 running_train_loss=32.403742
[epoch 041 step 005300/005625] batch_loss=31.552109 running_train_loss=32.398432
[epoch 041 step 005400/005625] batch_loss=32.398716 running_train_loss=32.395210
[epoch 041 step 005500/005625] batch_loss=26.883257 running_train_loss=32.388823
[epoch 041 step 005600/005625] batch_loss=39.721851 running_train_loss=32.501921
Validation starting ...
Saved new best model: val_loss=33.329924
Epoch [041/60] train_loss=32.495705 val_loss=33.329924 best_val=33.329924 best_epoch=41 lr=3.00e-05 time=8.6 min

--------------------------------------------------------------------------------
Starting epoch 42/60 at 2026-06-17T14:43:53
[epoch 042 step 000100/005625] batch_loss=31.431801 running_train_loss=33.506329
[epoch 042 step 000200/005625] batch_loss=37.813919 running_train_loss=33.128326
[epoch 042 step 000300/005625] batch_loss=25.813671 running_train_loss=33.090437
[epoch 042 step 000400/005625] batch_loss=25.463863 running_train_loss=32.736384
[epoch 042 step 000500/005625] batch_loss=30.220181 running_train_loss=32.903171
[epoch 042 step 000600/005625] batch_loss=29.775391 running_train_loss=32.986841
[epoch 042 step 000700/005625] batch_loss=33.567997 running_train_loss=32.950015
[epoch 042 step 000800/005625] batch_loss=36.097122 running_train_loss=32.902593
[epoch 042 step 000900/005625] batch_loss=28.420816 running_train_loss=32.866632
[epoch 042 step 001000/005625] batch_loss=31.197716 running_train_loss=33.014738
[epoch 042 step 001100/005625] batch_loss=24.748945 running_train_loss=32.924170
[epoch 042 step 001200/005625] batch_loss=30.118383 running_train_loss=32.864025
[epoch 042 step 001300/005625] batch_loss=27.742567 running_train_loss=32.861841
[epoch 042 step 001400/005625] batch_loss=32.279121 running_train_loss=32.810138
[epoch 042 step 001500/005625] batch_loss=32.655842 running_train_loss=32.709465
[epoch 042 step 001600/005625] batch_loss=31.988871 running_train_loss=32.698336
[epoch 042 step 001700/005625] batch_loss=29.431515 running_train_loss=32.600551
[epoch 042 step 001800/005625] batch_loss=35.489361 running_train_loss=32.473319
[epoch 042 step 001900/005625] batch_loss=34.330048 running_train_loss=32.443184
[epoch 042 step 002000/005625] batch_loss=24.435585 running_train_loss=32.421301
[epoch 042 step 002100/005625] batch_loss=31.156157 running_train_loss=32.406940
[epoch 042 step 002200/005625] batch_loss=27.826395 running_train_loss=32.373795
[epoch 042 step 002300/005625] batch_loss=34.445374 running_train_loss=32.342722
[epoch 042 step 002400/005625] batch_loss=26.310564 running_train_loss=32.318635
[epoch 042 step 002500/005625] batch_loss=40.853691 running_train_loss=32.274092
[epoch 042 step 002600/005625] batch_loss=28.157555 running_train_loss=32.254774
[epoch 042 step 002700/005625] batch_loss=31.987419 running_train_loss=32.236039
[epoch 042 step 002800/005625] batch_loss=35.179413 running_train_loss=32.255901
[epoch 042 step 002900/005625] batch_loss=40.771683 running_train_loss=32.267384
[epoch 042 step 003000/005625] batch_loss=23.592661 running_train_loss=32.272323
[epoch 042 step 003100/005625] batch_loss=34.552711 running_train_loss=32.257480
[epoch 042 step 003200/005625] batch_loss=34.777458 running_train_loss=32.254775
[epoch 042 step 003300/005625] batch_loss=28.134699 running_train_loss=32.265328
[epoch 042 step 003400/005625] batch_loss=30.136007 running_train_loss=32.243473
[epoch 042 step 003500/005625] batch_loss=23.020164 running_train_loss=32.248079
[epoch 042 step 003600/005625] batch_loss=25.888052 running_train_loss=32.273152
[epoch 042 step 003700/005625] batch_loss=31.835560 running_train_loss=32.268334
[epoch 042 step 003800/005625] batch_loss=38.846218 running_train_loss=32.252993
[epoch 042 step 003900/005625] batch_loss=35.203438 running_train_loss=32.281950
[epoch 042 step 004000/005625] batch_loss=30.578972 running_train_loss=32.316827
[epoch 042 step 004100/005625] batch_loss=44.168907 running_train_loss=32.335487
[epoch 042 step 004200/005625] batch_loss=28.827482 running_train_loss=32.317207
[epoch 042 step 004300/005625] batch_loss=37.718811 running_train_loss=32.332936
[epoch 042 step 004400/005625] batch_loss=37.224205 running_train_loss=32.313780
[epoch 042 step 004500/005625] batch_loss=25.328897 running_train_loss=32.293826
[epoch 042 step 004600/005625] batch_loss=31.651247 running_train_loss=32.285036
[epoch 042 step 004700/005625] batch_loss=26.129675 running_train_loss=32.327334
[epoch 042 step 004800/005625] batch_loss=28.314934 running_train_loss=32.310932
